"CodeClass","Target_name_display_name","Accession","P610_P614_001_Islets","P610_P614_002_Islets","P610_P614_003_Islets","P610_P614_004_Islets","P610_P614_005_Islets","P610_P614_006_Islets","P610_P614_007_Islets","P610_P614_008_Islets","P610_P614_009_Islets","P610_P614_010_Islets","P610_P614_011_Islets","P610_P614_012_Islets","P610_P614_013_Islets","P610_P614_014_Islets","P610_P614_015_Islets","P610_P614_016_Islets","P610_P614_017_Islets","P610_P614_018_Islets","P609_P611_001_Islets","P609_P611_002_Islets","P609_P611_003_Islets","P609_P611_004_Islets","P609_P611_005_Islets","P609_P611_006_Islets","P609_P611_007_Islets","P609_P611_008_Islets","P609_P611_009_Islets","P609_P611_010_Islets","P609_P611_011_Islets","P609_P611_012_Islets","P609_P611_013_Islets","P609_P611_014_Islets","P609_P611_015_Islets","P609_P611_016_Islets","P609_P611_017_Islets","P609_P611_018_Islets","P609_P611_019_Islets","P609_P611_020_Islets","P609_P611_021_Islets","P609_P611_022_Islets","P609_P611_023_Islets","P609_P611_024_Islets","P609_P611_025_Islets","P609_P611_026_Islets","P609_P611_027_Islets","P609_P611_028_Islets","P609_P611_029_Islets","P609_P611_030_Islets","P609_P611_031_Islets","P609_P611_032_Islets","P609_P611_033_Islets","P609_P611_034_Islets","P609_P611_035_Islets","P609_P611_036_Islets","P609_P611_037_Islets","P609_P611_038_Islets","P608_P612_001_Islets","P608_P612_002_Islets","P608_P612_003_Islets","P608_P612_004_Islets","P608_P612_005_Islets","P608_P612_006_Islets","P608_P612_007_Islets","P608_P612_008_Islets","P608_P612_009_Islets","P608_P612_010_Islets","P608_P612_011_Islets","P608_P612_012_Islets","P608_P612_013_Islets","P608_P612_014_Full_ROI","P608_P612_015_Islets","P608_P612_016_Islets","P608_P612_017_Islets","P608_P612_018_Full_ROI","P608_P612_019_Full_ROI","P608_P612_020_Full_ROI","P608_P612_021_Islets","P608_P612_022_Islets","P608_P612_023_Islets","P608_P612_024_Full_ROI","P608_P612_025_Islets","P608_P612_026_Islets","P608_P612_027_Islets","P608_P612_028_Islets","P608_P612_029_Islets","P608_P612_030_Islets","P608_P612_031_Islets","P608_P612_032_Islets","P608_P612_033_Islets"
"Endogenous","PanCk","PanCk",15.59001371,32.09708706,11.92177519,34.84826595,27.51178891,17.42413297,28.42884854,24.76061002,25.67766965,29.34590817,42.18474299,11.92177519,6.121106378,4.896885102,7.345327653,14.69065531,1,1.224221276,34.38234593,26.94832519,23.23131482,24.16056741,10.22177852,12.08028371,28.80683037,24.16056741,17.65579926,14.45271289,20.01144861,6.670482871,40.02289722,16.67620718,24.45843719,34.4641615,10.00572431,8.893977161,5.558735725,28.90542577,10.00572431,28.54816388,19.03210925,19.89720513,15.57172575,17.3019175,17.3019175,24.2226845,12.11134225,6.920767001,25.08778038,4.325479376,7.785862876,5.504313927,9.173856545,5.504313927,1.834771309,5.504313927,12.24221276,13.46643403,11.01799148,11.01799148,9.793770204,6.121106378,6.62025555,4.4135037,2.20675185,1.103375925,2.20675185,2.20675185,6.62025555,3.310127775,6.62025555,9.930383325,4.4135037,25.37764627,6.236046261,5.196705217,2.078682087,5.196705217,12.47209252,14.55077461,18.70813878,16.62945669,6.236046261,4.157364174,10.39341043,8.314728347,15.79729408,8.363273334,6.504768149
"Control","GAPDH","GAPDH",477.0052496,95.60021704,80.66268313,212.1129816,109.5419154,113.5252577,266.8839392,235.0172002,218.0879951,52.77928649,210.1213104,28.87923223,50.19358839,22.20101025,35.71466866,83.01247311,25.0967942,27.02731683,175.3846494,140.3077195,144.0000279,100.6154041,49.84616351,133.8461798,180.0000349,125.5384859,86.76924759,76.44153449,187.8647882,53.12038838,86.80648832,41.45981532,54.41600761,67.37219989,27.2080038,54.41600761,23.32114612,220.2552689,106.2407768,101.0647559,169.0891108,131.1898273,276.9563021,161.3148988,249.7465601,140.9075923,92.31876737,41.78638944,108.8389678,111.7542973,36.92750695,50.36880019,37.27291214,30.22128011,33.24340812,23.16964809,69.4988147,103.2829607,29.92310077,43.43675918,42.47149787,60.81146286,46.74194499,21.81290766,19.73548788,24.92903733,14.54193844,7.27096922,20.77419777,17.65806811,11.42580877,31.16129666,21.81290766,248.2516634,88.72665518,30.47178057,52.87750157,119.1984357,167.5947931,37.64161129,199.8590314,66.32093417,92.31157054,93.20779938,32.26423825,34.95292477,49.84616351,49.84616351,22.15385045
"Endogenous","PD-L1","PD-L1",33.87164673,25.40373505,34.93013569,44.45653633,27.52071297,27.52071297,65.62631554,61.39235969,67.74329346,35.98862465,45.51502529,6.350933762,10.53500716,1.053500716,8.42800573,11.58850788,1.053500716,8.42800573,44.19421518,19.99262115,43.14197196,43.14197196,19.99262115,37.88075587,33.671783,24.20159403,18.94037793,15.26864769,44.90778732,10.77786896,39.51885285,9.879713211,12.57418045,20.65758217,9.879713211,10.77786896,4.490778732,41.31516434,19.75942642,41.87050136,19.32484678,33.28168057,20.39844938,16.10403899,25.76646238,41.87050136,20.39844938,20.39844938,25.76646238,16.10403899,4.294410396,2.961185097,6.909431892,2.961185097,3.948246796,5.922370193,15.80251074,25.28401719,14.74901003,4.214002865,8.42800573,9.481506447,19.78135405,2.967203107,2.967203107,1,5.934406214,1.978135405,2.967203107,2.967203107,1.978135405,5.934406214,7.912541619,28.68296337,9.252340485,4.626170242,6.476638339,18.50468097,14.80374478,14.80374478,11.10280858,12.02804263,12.95327668,13.87851073,7.401872388,5.551404291,10.52243219,14.73140506,6.313459312
"Endogenous","CD11b","CD11b",462.4556409,399.653023,357.7846111,327.3348569,304.4975413,285.466445,620.4137405,407.2654615,1039.09786,228.373156,209.3420597,53.28706973,52.87017777,21.94611153,53.86772829,160.6056344,26.93386415,42.89467253,471.963306,385.6715075,270.3222667,251.831167,750.2103297,613.7284035,250.9506384,224.5347818,184.0304682,172.7948505,210.7916239,387.2052147,192.6979223,115.7996904,89.56382303,141.1308727,62.4232706,94.99193352,40.71082865,337.4475353,114.8950053,411.2393927,163.5393864,209.4451791,187.4486534,231.4417047,210.4015498,219.0088859,148.2374555,84.1606199,416.0212461,374.8973068,100.4189215,58.84731036,64.54221137,40.81345719,67.38966187,47.45750836,301.2602582,323.2063698,152.6252302,168.5860385,171.5786901,172.5762406,162.8627985,81.43139923,28.07979284,43.99167545,22.46383427,17.7838688,25.27181355,42.11968926,29.01578593,53.35160639,35.56773759,177.838688,118.3633568,71.01801408,64.3896661,104.159754,149.611283,139.1953076,178.9653955,88.06233746,110.788102,104.159754,89.95615117,57.76131812,165.5393685,132.959812,66.0396417
"Endogenous","MHC II","MHC II",54.24018746,48.3230761,50.29544656,24.65463067,56.21255792,82.83955903,65.08822496,27.61318634,86.78429994,38.46122384,18.73751931,4.930926133,7.99149893,0.998937366,4.994686831,9.989373662,1,1,16.13088743,10.75392495,25.80941988,33.33716735,68.82511969,68.82511969,11.82931745,16.13088743,6.452354971,10.97636955,7.982814215,42.90762641,30.93340508,8.980665992,8.980665992,6.984962438,2.993555331,6.984962438,2.993555331,21.95273909,9.978517769,41.54432474,11.4246893,12.46329742,20.77216237,13.50190554,10.38608119,7.27025683,3.115824356,6.231648711,41.54432474,51.93040593,2.077216237,2.954894066,1,1,0.984964689,1.969929377,43.95324411,28.96918362,17.98087259,52.94368041,6.992561563,10.98831103,8.559899066,5.706599377,0.951099896,4.755499481,1.902199792,0.951099896,0.951099896,1,0.951099896,0.951099896,4.755499481,7.60879917,4.91520824,4.91520824,4.91520824,3.932166592,5.898249888,4.91520824,5.898249888,1.966083296,1.966083296,6.881291536,4.91520824,1.966083296,2.15078499,3.226177485,1.075392495
"Endogenous","F4/80","F4/80",32.81105969,29.99868314,27.1863066,17.81171812,31.87360084,14.99934157,16.87425927,17.81171812,37.49835393,15.93680042,26.24884775,0.937458848,13.47182514,0.962273224,1.924546448,13.47182514,1.924546448,2.886819672,32.39642905,38.4707595,15.18582612,24.29732179,21.26015656,29.35926383,20.24776816,17.21060293,12.14866089,2.310324055,16.17226839,16.17226839,17.32743041,5.775810138,1.155162028,16.17226839,3.465486083,11.55162028,6.930972165,23.10324055,11.55162028,21.90011434,9.521788843,13.33050438,10.47396773,8.569609959,17.13921992,21.90011434,14.28268326,5.713073306,33.32626095,15.23486215,2.856536653,3.432817298,8.009907028,3.432817298,3.432817298,3.432817298,14.43409836,16.35864481,7.698185793,14.43409836,10.58500546,15.39637159,6.496692189,6.496692189,1.856197768,2.784296652,3.712395537,0.928098884,3.712395537,1.856197768,2.784296652,6.496692189,0.928098884,15.77768103,4.848277327,2.908966396,5.817932793,6.787588258,7.757243723,10.66621012,7.757243723,6.787588258,6.787588258,10.66621012,11.63586559,4.848277327,13.1610493,10.12388408,6.074330447
"Endogenous","CD19","CD19",12.22459669,3.333980917,8.890615778,13.33592367,5.556634861,3.333980917,14.44725064,11.11326972,24.44919339,4.445307889,21.11521247,1.111326972,2.014619637,1.007309818,1.007309818,6.04385891,1,1,8.969137342,5.979424894,9.965708157,8.969137342,23.91769958,10.96227897,10.96227897,9.965708157,2.989712447,1.034002845,6.204017071,4.136011381,7.238019916,3.102008535,2.06800569,6.204017071,2.06800569,6.204017071,2.06800569,9.306025606,5.170014226,8.951405781,5.370843469,5.370843469,5.370843469,4.475702891,6.265984047,8.951405781,1.790281156,3.580562313,10.74168694,7.161124625,1,1.029610616,1,1.029610616,4.118442466,2.059221233,6.04385891,6.04385891,3.021929455,4.029239273,4.029239273,3.021929455,3.927671349,0.981917837,1.963835674,0.981917837,0.981917837,0.981917837,1,1.963835674,1.963835674,2.945753511,1,9.819178371,4.88750339,3.910002712,1.955001356,5.865004068,4.88750339,2.932502034,3.910002712,2.932502034,3.910002712,2.932502034,9.775006779,0.977500678,0.996570816,0.996570816,1.993141631
"Negative","Rt IgG2b","Rt IgG2b",14.56616977,2.913233953,7.768623875,7.768623875,5.826467906,0.971077984,13.59509178,6.797545891,18.4504817,3.884311938,7.768623875,3.884311938,2.168628582,2.168628582,5.421571454,4.337257163,1.084314291,3.252942872,3.928544859,3.928544859,3.928544859,8.839225932,4.910681073,8.839225932,7.857089717,1.964272429,3.928544859,1.966270639,4.915676598,8.848217876,7.865082556,2.949405959,0.98313532,7.865082556,1.966270639,5.898811917,0.98313532,9.831353195,0.98313532,7.520341553,6.580298859,3.760170776,9.400426941,4.70021347,6.580298859,7.520341553,10.34046964,5.640256165,4.70021347,2.820128082,2.820128082,2.216186267,1.108093134,2.216186267,2.216186267,1,10.84314291,11.9274572,2.168628582,4.337257163,2.168628582,6.505885745,1.818059456,1,1,6.363208096,1,1,1.818059456,3.636118912,1.818059456,2.727089184,1.818059456,6.363208096,5.300772004,4.240617603,2.120308802,4.240617603,6.360926405,3.180463202,3.180463202,1.060154401,6.360926405,3.180463202,4.240617603,1.060154401,0.982136215,4.910681073,2.946408644
"Positive","HYB-POS","HYB-POS",879.2245845,770.046147,864.7318715,1005.794277,775.8432322,896.61584,1024.151714,1191.301003,1038.644427,993.2339262,1107.243268,1156.518492,865.8663043,702.1067655,649.1545792,933.5274312,727.6022625,776.6320646,829.1132128,733.2293719,756.9183208,978.0151775,1158.502408,993.8078102,1157.374362,1137.069549,1079.539244,1056.089558,797.6255342,798.5519286,1006.064263,837.4604912,896.7497295,990.3155588,1167.256879,954.1861792,1094.071726,1157.992936,1159.845725,1157.585466,962.9913576,944.030906,1262.366909,906.1100028,1040.829001,1259.373154,1452.969344,1167.564651,1286.316953,1306.275323,1279.331524,1263.514669,1029.598688,983.5522347,1226.677506,805.8129264,977.654253,1056.101936,845.2737875,798.2051775,959.0229282,907.0513381,655.8327724,562.9141259,600.7298541,707.6943425,566.155474,622.3388417,762.7972608,800.612989,682.8440068,770.3604064,773.6017546,864.3595023,964.0930678,833.3334052,794.9357265,984.8485698,764.8402486,838.5222807,1061.643927,1092.77718,991.0752204,1105.230481,1139.47706,1057.492827,764.8146371,656.5222991,673.4429769
"Endogenous","CD11c","CD11c",58.80415832,65.10460386,49.35349002,38.85274746,86.10608897,21.00148511,58.80415832,40.95289597,59.85423258,25.20178214,34.65245044,12.60089107,10.76233307,5.381166537,7.174888716,13.45291634,3.587444358,3.587444358,72.4039273,29.57343509,56.08754931,29.57343509,89.7400789,72.4039273,31.61298234,30.59320872,22.43501973,19.99130312,25.70310401,51.40620802,18.08736949,12.3755686,23.79917038,24.75113719,4.759834076,15.23146904,7.615734521,34.27080535,17.13540267,51.13531562,23.6009149,22.61754345,17.70068618,26.55102926,16.71731472,32.45125799,20.65080054,15.73394327,54.08542998,59.9856587,4.916857271,4.429589073,4.429589073,6.64438361,1.107397268,5.536986342,89.68610895,43.94619338,27.80269377,34.0807214,31.39013813,27.80269377,17.04545842,3.008022075,2.00534805,5.013370124,2.00534805,4.0106961,2.00534805,2.00534805,1.002674025,8.021392199,2.00534805,29.07754672,16.37333682,17.39667038,5.116667758,13.30333617,15.35000327,11.25666907,20.46667103,14.32666972,12.28000262,8.186668412,9.210001964,8.186668412,12.23728349,9.177962615,4.079094496
"Endogenous","CD45","CD45",730.8900386,2078.436956,1850.98155,1179.735374,2142.12447,1185.800851,1964.203797,1485.031074,3668.602974,494.3364162,97.04763998,18.1964325,32.6562645,9.480850983,13.69456253,38.97683182,4.213711548,6.320567322,899.6707978,168.239465,557.0367653,351.866686,2496.919865,2317.396046,85.14558291,95.40408688,66.68027577,311.1687657,156.5690941,1035.916271,122.1041992,40.37316264,58.09796575,89.60872683,16.74009183,31.51076108,3.938845135,149.6761151,24.6177821,762.941005,66.92464956,127.1568342,102.2991072,120.4643692,37.28659047,117.5961699,70.74891525,56.40791892,2002.003088,1935.078439,15.29706276,15.54763218,7.77381609,3.886908045,4.858635056,17.4910862,2016.260976,1292.556017,884.8794251,711.0638237,981.7947907,671.033564,642.5474604,172.1658267,7.173576113,21.52072834,2.049593175,5.123982938,4.09918635,14.34715223,8.198372701,30.74389763,10.24796588,47.14064303,18.74665236,19.73331828,11.83999097,20.71998419,39.46663656,27.62664559,57.22662301,19.73331828,15.78665462,39.46663656,24.66664785,11.83999097,35.90476388,30.7755119,7.180952776
"Endogenous","CD4","CD4",37.82036462,32.84400085,40.80618288,15.92436405,61.70691069,21.89600057,67.67854721,46.7778194,74.64545648,19.90545506,11.94327304,1.990545506,1.094543898,1.094543898,1.094543898,5.47271949,1.094543898,2.189087796,18.46659147,12.92661403,12.00328446,10.15662531,125.572822,129.2661403,10.15662531,6.463307015,9.233295735,5.879680575,6.859627338,56.83691223,5.879680575,4.899733813,2.939840288,3.91978705,1,1.959893525,0.979946763,7.8395741,0.979946763,10.62322411,4.828738233,5.79448588,4.828738233,4.828738233,2.89724294,9.657476466,3.862990586,3.862990586,59.87635409,49.25312998,1,1.216337229,1,1.216337229,1,2.432674458,33.93086084,37.21449253,22.98542186,14.22907067,12.03998288,20.79633406,14.50513669,4.532855214,0.906571043,2.719713129,1.813142086,0.906571043,0.906571043,1.813142086,1,1.813142086,1,2.719713129,5.940770672,1.980256891,1.980256891,8.911156008,3.960513781,1.980256891,9.901284453,4.950642227,3.960513781,2.970385336,3.960513781,1.980256891,4.616647868,2.769988721,0.923329574
"Control","S6","S6",9526.364218,3271.253729,2731.210406,7531.491143,5014.419655,4801.219943,13516.11037,10834.67787,11833.99282,8001.094033,10065.46834,2216.525639,2134.908765,1180.714801,3160.266355,5883.527912,1711.936231,1803.145948,10685.82931,11225.68741,7830.043005,6939.382178,2689.837711,7055.966319,9521.038208,6908.923258,5336.612812,5013.134109,7629.829743,2448.203983,6293.061647,3405.358359,2699.926449,5218.166118,2273.622273,3909.818301,1415.938871,10336.86126,3781.927048,7909.601588,6254.622731,7662.014316,6768.061911,9657.933023,12327.61382,7371.809562,4769.099097,3044.105807,5921.800496,4872.598695,3127.311366,1271.448902,2208.629787,1317.590193,2056.876208,1631.350971,3581.234281,5041.592061,1798.134425,2941.763956,3390.79641,2984.863053,5127.822601,1667.121542,936.3682084,1733.729178,978.8426426,700.8281642,1495.293149,1528.114303,1118.81521,2044.56481,1413.240265,6403.020955,3239.836638,2536.04814,3311.119068,3602.272655,4538.984022,3893.426241,6001.779802,2994.866034,3930.573423,3817.123922,2854.30913,1673.631136,4294.707693,3774.805441,2140.526847
"Endogenous","GZMB","GZMB",282.3009492,148.3102813,234.2279615,321.1684712,181.0408261,132.9678384,392.7665381,333.4424256,374.3556066,212.7485415,413.2231286,63.41543063,106.0289428,48.55531024,80.2649006,186.2938434,38.64606325,56.48270783,413.5990372,378.8771427,236.9258682,234.8834038,146.0362033,311.4758181,415.6415016,389.0894646,241.010797,144.0472037,238.7631732,101.6223423,356.1715104,136.1542062,168.7128207,189.4319391,79.91659929,136.1542062,38.47836262,449.9008553,97.67584358,776.9102589,328.3227565,454.6007397,242.9347868,313.8909869,342.754526,488.2748686,318.7015768,233.3136072,387.252482,181.5997664,108.2382714,39.7570035,47.51446759,64.96876181,29.09049036,96.96830121,241.7856265,230.8854548,126.8383614,64.41010542,63.41918072,81.2558253,159.8218997,35.72489523,31.02425112,59.22811578,30.0841223,21.6229629,39.48541052,61.10837343,41.36566817,101.5339128,55.46760049,177.6843473,60.79196023,50.65996686,46.97560563,72.76613421,101.3199337,69.08177299,250.5365634,79.21376636,81.97703728,86.58248881,67.23959237,35.92252195,119.4841663,99.05952249,58.21023486
"Endogenous","Fibronectin","Fibronectin",76.47461021,28.22277281,10.92494432,38.2373051,21.84988863,13.65618039,40.05812916,38.2373051,46.43101334,31.86442092,26.40194876,3.641648105,9.342041062,1,7.266031937,20.76009125,2.076009125,1.038004562,34.4986338,60.63396244,11.4995446,21.95367605,18.81743662,41.81652582,26.13532864,22.9990892,10.45413145,12.08550843,18.12826264,19.13538834,27.19239396,9.06413132,13.09263413,18.12826264,6.042754214,9.06413132,7.049879916,22.15676545,9.06413132,42.04814335,15.64582078,17.60154838,28.35805017,18.57941218,20.53513978,20.53513978,16.62368458,10.75650179,26.40232257,16.62368458,6.845046593,5.58572419,1.861908063,4.654770159,4.654770159,5.58572419,14.53206387,18.68408212,11.41805019,17.64607756,12.45605475,4.15201825,10.83163358,3.249490073,2.166326715,4.33265343,3.249490073,5.415816788,4.33265343,3.249490073,1.083163358,7.582143503,2.166326715,16.24745036,17.68281076,3.120496016,8.32132271,9.361488049,14.56231474,10.40165339,29.12462949,5.200826694,12.48198407,8.32132271,5.200826694,10.40165339,16.72661033,9.408718309,3.136239436
"Negative","HYB-NEG","HYB-NEG",4,1,2,1,2,1,3,3,4,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,5,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,1,1,2,1,1,1
